Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,IE 11,This will be the regression testing suite. Any regression tests go in here,2018-04-02 12:23:09,2018-04-02 12:34:09,11m - 0.757s,FAILED
,,,,,,
Test Cases/Regression - Logging in and Logging out,IE 11,This is to just test the logging in and logging out.,2018-04-02 12:23:09,2018-04-02 12:26:24,3m - 14.795s,FAILED
openBrowser,IE 11,,2018-04-02 12:23:09,2018-04-02 12:23:17,7.751s,PASSED
navigateToUrl,IE 11,,2018-04-02 12:23:17,2018-04-02 12:23:18,1.235s,PASSED
maximizeWindow,IE 11,,2018-04-02 12:23:18,2018-04-02 12:23:18,0.036s,PASSED
delay,IE 11,,2018-04-02 12:23:18,2018-04-02 12:23:20,2.000s,PASSED
mouseOver,IE 11,,2018-04-02 12:23:20,2018-04-02 12:23:21,0.369s,PASSED
click,IE 11,,2018-04-02 12:23:21,2018-04-02 12:23:23,1.810s,PASSED
delay,IE 11,,2018-04-02 12:23:23,2018-04-02 12:23:25,2.001s,PASSED
setText,IE 11,,2018-04-02 12:23:25,2018-04-02 12:25:30,2m - 5.344s,PASSED
setText,IE 11,,2018-04-02 12:25:30,2018-04-02 12:26:15,45.382s,PASSED
delay,IE 11,,2018-04-02 12:26:15,2018-04-02 12:26:17,2.001s,PASSED
click,IE 11,,2018-04-02 12:26:17,2018-04-02 12:26:18,1.005s,PASSED
delay,IE 11,,2018-04-02 12:26:18,2018-04-02 12:26:20,2.000s,PASSED
mouseOver,IE 11,,2018-04-02 12:26:20,2018-04-02 12:26:21,0.340s,PASSED
delay,IE 11,,2018-04-02 12:26:21,2018-04-02 12:26:23,2.003s,PASSED
click,IE 11,,2018-04-02 12:26:23,2018-04-02 12:26:24,1.049s,FAILED
,,,,,,
Test Cases/Browser Start,IE 11,,2018-04-02 12:26:24,2018-04-02 12:27:22,58.764s,PASSED
openBrowser,IE 11,,2018-04-02 12:26:24,2018-04-02 12:26:26,2.482s,PASSED
maximizeWindow,IE 11,,2018-04-02 12:26:26,2018-04-02 12:26:26,0.017s,PASSED
navigateToUrl,IE 11,,2018-04-02 12:26:26,2018-04-02 12:27:17,51.172s,PASSED
delay,IE 11,,2018-04-02 12:27:17,2018-04-02 12:27:22,5.002s,PASSED
comment,IE 11,,2018-04-02 12:27:22,2018-04-02 12:27:22,0.004s,PASSED
,,,,,,
Test Cases/Logging In,IE 11,Test logging in to the US Reporting Tool,2018-04-02 12:27:22,2018-04-02 12:34:02,6m - 39.354s,PASSED
openBrowser,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:23,0.000s,NOT_RUN
delay,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:23,0.000s,NOT_RUN
maximizeWindow,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:23,0.000s,NOT_RUN
navigateToUrl,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:23,0.000s,NOT_RUN
comment,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:23,0.000s,PASSED
delay,IE 11,,2018-04-02 12:27:23,2018-04-02 12:27:25,2.000s,PASSED
click,IE 11,,2018-04-02 12:27:25,2018-04-02 12:31:01,3m - 36.497s,PASSED
comment,IE 11,,2018-04-02 12:31:01,2018-04-02 12:31:01,0.000s,PASSED
setText,IE 11,,2018-04-02 12:31:01,2018-04-02 12:33:13,2m - 12.369s,PASSED
delay,IE 11,,2018-04-02 12:33:13,2018-04-02 12:33:14,1.000s,PASSED
setText,IE 11,,2018-04-02 12:33:14,2018-04-02 12:34:00,45.399s,PASSED
delay,IE 11,,2018-04-02 12:34:00,2018-04-02 12:34:01,1.001s,PASSED
click,IE 11,,2018-04-02 12:34:01,2018-04-02 12:34:02,1.001s,PASSED
,,,,,,
Test Cases/Regression - Button Pushes,IE 11,This test will just push each button in the website.,2018-04-02 12:34:02,2018-04-02 12:34:06,4.448s,FAILED
openBrowser,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.000s,NOT_RUN
navigateToUrl,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.000s,NOT_RUN
maximizeWindow,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.015s,NOT_RUN
delay,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.000s,NOT_RUN
callTestCase,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.000s,NOT_RUN
comment,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:02,0.000s,PASSED
mouseOver,IE 11,,2018-04-02 12:34:02,2018-04-02 12:34:03,1.256s,PASSED
comment,IE 11,,2018-04-02 12:34:03,2018-04-02 12:34:03,0.001s,PASSED
delay,IE 11,,2018-04-02 12:34:03,2018-04-02 12:34:05,2.001s,PASSED
comment,IE 11,,2018-04-02 12:34:05,2018-04-02 12:34:05,0.001s,PASSED
click,IE 11,,2018-04-02 12:34:05,2018-04-02 12:34:06,0.979s,FAILED
,,,,,,
Test Cases/Logging Out,IE 11,Logging out of the US Lead Gen Reporting Tool,2018-04-02 12:34:06,2018-04-02 12:34:09,2.516s,FAILED
openBrowser,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:06,0.000s,NOT_RUN
navigateToUrl,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:06,0.000s,NOT_RUN
maximizeWindow,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:06,0.000s,NOT_RUN
callTestCase,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:06,0.000s,NOT_RUN
comment,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:06,0.000s,PASSED
mouseOver,IE 11,,2018-04-02 12:34:06,2018-04-02 12:34:07,0.408s,PASSED
delay,IE 11,,2018-04-02 12:34:07,2018-04-02 12:34:08,1.000s,PASSED
click,IE 11,,2018-04-02 12:34:08,2018-04-02 12:34:09,1.012s,FAILED
