Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM- Reporting tool suite,Chrome 66.0.3359.139,Just a start,2018-05-03 13:27:42,2018-05-03 13:40:42,12m - 59.554s,PASSED
,,,,,,
Test Cases/Browser Start,Chrome 66.0.3359.139,,2018-05-03 13:27:42,2018-05-03 13:29:22,1m - 39.189s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:27:43,2018-05-03 13:27:49,6.667s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:27:49,2018-05-03 13:27:53,3.303s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:27:53,2018-05-03 13:29:17,1m - 24.013s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:29:17,2018-05-03 13:29:22,5.012s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.004s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 66.0.3359.139,Test logging in to the US Reporting Tool,2018-05-03 13:29:22,2018-05-03 13:30:01,39.668s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.001s,NOT_RUN
delay,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.001s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.002s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:22,0.001s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:29:22,2018-05-03 13:29:24,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:29:24,2018-05-03 13:29:33,9.488s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 13:29:33,2018-05-03 13:29:33,0.001s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:29:33,2018-05-03 13:29:41,8.126s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:29:41,2018-05-03 13:29:42,1.002s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:29:42,2018-05-03 13:29:51,8.094s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:29:51,2018-05-03 13:29:52,1.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:29:52,2018-05-03 13:30:01,9.802s,PASSED
,,,,,,
Test Cases/Button Pushes,Chrome 66.0.3359.139,This test will just push each button in the website.,2018-05-03 13:30:01,2018-05-03 13:40:17,10m - 16.024s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:01,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:01,0.000s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:01,0.000s,NOT_RUN
callTestCase,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:01,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:01,0.001s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:30:01,2018-05-03 13:30:13,11.058s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 13:30:13,2018-05-03 13:30:13,0.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:30:13,2018-05-03 13:30:24,11.037s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:30:24,2018-05-03 13:30:33,9.071s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:30:33,2018-05-03 13:30:42,9.067s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:30:42,2018-05-03 13:30:51,9.043s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:30:51,2018-05-03 13:31:00,9.067s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:31:00,2018-05-03 13:31:11,11.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:31:11,2018-05-03 13:31:21,9.727s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:31:21,2018-05-03 13:31:32,11.043s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:31:32,2018-05-03 13:31:41,9.699s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:31:41,2018-05-03 13:31:52,11.042s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:31:52,2018-05-03 13:32:02,9.789s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:32:02,2018-05-03 13:32:13,11.042s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:32:13,2018-05-03 13:32:24,11.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:32:24,2018-05-03 13:32:34,9.798s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:32:34,2018-05-03 13:32:45,11.041s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:32:45,2018-05-03 13:32:56,11.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:32:56,2018-05-03 13:33:06,9.842s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:33:06,2018-05-03 13:33:17,11.043s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:33:17,2018-05-03 13:33:28,11.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:33:28,2018-05-03 13:33:38,9.673s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:33:38,2018-05-03 13:33:49,11.040s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:33:49,2018-05-03 13:34:00,11.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:34:00,2018-05-03 13:34:09,9.677s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:34:09,2018-05-03 13:34:21,11.042s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:34:21,2018-05-03 13:34:32,11.042s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:34:32,2018-05-03 13:34:41,9.723s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:34:41,2018-05-03 13:34:52,11.041s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:34:52,2018-05-03 13:35:03,11.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:35:03,2018-05-03 13:35:13,9.807s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:35:13,2018-05-03 13:35:24,11.041s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:35:24,2018-05-03 13:35:35,11.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:35:35,2018-05-03 13:35:45,9.780s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:35:45,2018-05-03 13:35:56,11.044s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:35:56,2018-05-03 13:36:07,11.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:36:07,2018-05-03 13:36:17,9.717s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:36:17,2018-05-03 13:36:26,9.660s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:36:26,2018-05-03 13:36:38,11.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:36:38,2018-05-03 13:36:48,10.043s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:36:48,2018-05-03 13:36:59,11.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:36:59,2018-05-03 13:37:10,11.239s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:37:10,2018-05-03 13:37:19,9.079s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:37:19,2018-05-03 13:37:28,9.064s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:37:28,2018-05-03 13:37:37,9.063s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:37:37,2018-05-03 13:37:47,9.958s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:37:47,2018-05-03 13:37:57,10.263s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:37:57,2018-05-03 13:38:08,11.047s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:38:08,2018-05-03 13:38:18,9.773s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:38:18,2018-05-03 13:38:27,9.075s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:38:27,2018-05-03 13:38:39,12.026s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:38:39,2018-05-03 13:38:49,9.639s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:38:49,2018-05-03 13:39:00,11.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:00,2018-05-03 13:39:10,9.792s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:10,2018-05-03 13:39:19,9.080s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:19,2018-05-03 13:39:28,9.292s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:39:28,2018-05-03 13:39:39,11.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:39,2018-05-03 13:39:49,9.829s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:49,2018-05-03 13:39:58,9.077s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:39:58,2018-05-03 13:40:08,9.678s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:40:08,2018-05-03 13:40:17,9.686s,PASSED
,,,,,,
Test Cases/Logging Out,Chrome 66.0.3359.139,Logging out of the US Lead Gen Reporting Tool,2018-05-03 13:40:17,2018-05-03 13:40:39,21.814s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:17,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:17,0.000s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:17,0.000s,NOT_RUN
callTestCase,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:17,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:17,0.000s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:40:17,2018-05-03 13:40:29,11.040s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:40:29,2018-05-03 13:40:30,1.000s,PASSED
