Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Chrome 65.0.3325.181,This will be the regression testing suite. Any regression tests go in here,2018-04-16 15:06:23,2018-04-16 15:08:30,2m - 7.235s,ERROR
,,,,,,
Test Cases/Regression - Logging in and Logging out,Chrome 65.0.3325.181,This is to just test the logging in and logging out.,2018-04-16 15:06:23,2018-04-16 15:06:24,0.675s,ERROR
,,,,,,
Test Cases/Browser Start,Chrome 65.0.3325.181,,2018-04-16 15:06:24,2018-04-16 15:06:32,8.383s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 15:06:24,2018-04-16 15:06:26,1.839s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 15:06:26,2018-04-16 15:06:26,0.253s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 15:06:26,2018-04-16 15:06:27,1.155s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:27,2018-04-16 15:06:32,5.022s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.005s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 65.0.3325.181,Test logging in to the US Reporting Tool,2018-04-16 15:06:32,2018-04-16 15:06:48,16.021s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.002s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.001s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.002s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.002s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:32,0.001s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:32,2018-04-16 15:06:34,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:06:34,2018-04-16 15:06:40,5.842s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:40,2018-04-16 15:06:40,0.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 15:06:40,2018-04-16 15:06:40,0.211s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:40,2018-04-16 15:06:41,1.004s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-16 15:06:41,2018-04-16 15:06:41,0.135s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:41,2018-04-16 15:06:42,1.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:06:42,2018-04-16 15:06:48,5.705s,PASSED
,,,,,,
Test Cases/Regression - Button Pushes,Chrome 65.0.3325.181,This test will just push each button in the website.,2018-04-16 15:06:48,2018-04-16 15:08:24,1m - 35.425s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.002s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.001s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.001s,NOT_RUN
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.001s,NOT_RUN
callTestCase,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.000s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:48,0.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:06:48,2018-04-16 15:06:54,5.161s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:54,2018-04-16 15:06:54,0.001s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:06:54,2018-04-16 15:06:56,2.002s,PASSED
comment,Chrome 65.0.3325.181,,2018-04-16 15:06:56,2018-04-16 15:06:56,0.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:06:56,2018-04-16 15:07:02,6.375s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:02,2018-04-16 15:07:03,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:03,2018-04-16 15:07:08,5.399s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:08,2018-04-16 15:07:09,1.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:09,2018-04-16 15:07:15,5.211s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:15,2018-04-16 15:07:16,1.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:16,2018-04-16 15:07:21,5.057s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:21,2018-04-16 15:07:22,1.005s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:22,2018-04-16 15:07:27,5.280s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:27,2018-04-16 15:07:29,2.003s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:07:29,2018-04-16 15:07:34,5.203s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:34,2018-04-16 15:07:36,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:36,2018-04-16 15:07:42,6.067s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:42,2018-04-16 15:07:43,1.006s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:07:43,2018-04-16 15:07:49,5.462s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:49,2018-04-16 15:07:51,2.006s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:07:51,2018-04-16 15:07:56,5.807s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:07:56,2018-04-16 15:07:57,1.004s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:07:57,2018-04-16 15:08:02,5.058s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:08:02,2018-04-16 15:08:04,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:08:04,2018-04-16 15:08:10,5.770s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:08:10,2018-04-16 15:08:11,1.007s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:08:11,2018-04-16 15:08:16,5.154s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:08:16,2018-04-16 15:08:17,1.005s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:08:17,2018-04-16 15:08:23,5.118s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:08:23,2018-04-16 15:08:24,1.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.055s,FAILED
,,,,,,
Test Cases/Logging Out,Chrome 65.0.3325.181,Logging out of the US Lead Gen Reporting Tool,2018-04-16 15:08:24,2018-04-16 15:08:30,6.270s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.001s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.000s,NOT_RUN
callTestCase,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.000s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:24,0.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 15:08:24,2018-04-16 15:08:29,5.140s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 15:08:29,2018-04-16 15:08:30,1.004s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 15:08:30,2018-04-16 15:08:30,0.045s,FAILED
