Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Firefox 57.0,This will be the regression testing suite. Any regression tests go in here,2018-04-02 11:30:03,2018-04-02 11:46:35,16m - 31.282s,PASSED
,,,,,,
Test Cases/Regression - Logging in and Logging out,Firefox 57.0,This is to just test the logging in and logging out.,2018-04-02 11:30:04,2018-04-02 11:36:55,6m - 51.770s,PASSED
openBrowser,Firefox 57.0,,2018-04-02 11:30:04,2018-04-02 11:30:14,9.551s,PASSED
navigateToUrl,Firefox 57.0,,2018-04-02 11:30:14,2018-04-02 11:30:15,1.075s,PASSED
maximizeWindow,Firefox 57.0,,2018-04-02 11:30:15,2018-04-02 11:30:15,0.050s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:15,2018-04-02 11:30:17,2.016s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:17,2018-04-02 11:30:17,0.161s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:17,2018-04-02 11:30:17,0.522s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:17,2018-04-02 11:30:19,2.002s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:19,2018-04-02 11:30:19,0.084s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:19,2018-04-02 11:30:19,0.033s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:19,2018-04-02 11:30:21,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:21,2018-04-02 11:30:23,1.162s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:23,2018-04-02 11:30:25,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:25,2018-04-02 11:30:25,0.162s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:25,2018-04-02 11:30:27,2.003s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:27,2018-04-02 11:30:27,0.516s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:27,2018-04-02 11:30:29,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:29,2018-04-02 11:30:29,0.136s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:29,2018-04-02 11:30:30,0.494s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:30,2018-04-02 11:30:32,2.001s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:32,2018-04-02 11:30:32,0.089s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:32,2018-04-02 11:30:32,0.051s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:32,2018-04-02 11:30:34,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:34,2018-04-02 11:30:35,0.584s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:35,2018-04-02 11:30:37,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:37,2018-04-02 11:30:37,0.119s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:37,2018-04-02 11:30:39,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:39,2018-04-02 11:30:39,0.522s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:39,2018-04-02 11:30:41,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:41,2018-04-02 11:30:41,0.131s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:41,2018-04-02 11:30:42,0.508s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:42,2018-04-02 11:30:44,2.002s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:44,2018-04-02 11:30:44,0.051s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:44,2018-04-02 11:30:44,0.052s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:44,2018-04-02 11:30:46,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:46,2018-04-02 11:30:47,0.546s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:47,2018-04-02 11:30:49,2.002s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:49,2018-04-02 11:30:49,0.135s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:49,2018-04-02 11:30:51,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:51,2018-04-02 11:30:51,0.501s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:51,2018-04-02 11:30:53,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:30:53,2018-04-02 11:30:53,0.135s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:53,2018-04-02 11:30:54,0.494s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:54,2018-04-02 11:30:56,2.000s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:56,2018-04-02 11:30:56,0.053s,PASSED
setText,Firefox 57.0,,2018-04-02 11:30:56,2018-04-02 11:30:56,0.049s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:56,2018-04-02 11:30:58,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:30:58,2018-04-02 11:30:59,0.570s,PASSED
delay,Firefox 57.0,,2018-04-02 11:30:59,2018-04-02 11:31:01,2.002s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:01,2018-04-02 11:31:01,0.148s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:01,2018-04-02 11:31:03,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:03,2018-04-02 11:31:03,0.544s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:03,2018-04-02 11:31:05,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:05,2018-04-02 11:31:05,0.119s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:05,2018-04-02 11:31:06,0.491s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:06,2018-04-02 11:31:08,2.001s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:08,2018-04-02 11:31:08,0.052s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:08,2018-04-02 11:31:08,0.032s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:08,2018-04-02 11:31:10,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:10,2018-04-02 11:31:11,0.628s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:11,2018-04-02 11:31:13,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:13,2018-04-02 11:31:13,0.135s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:13,2018-04-02 11:31:15,2.001s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:15,2018-04-02 11:31:15,0.505s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:15,2018-04-02 11:31:17,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:17,2018-04-02 11:31:17,0.119s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:17,2018-04-02 11:31:18,0.492s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:18,2018-04-02 11:31:20,2.000s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:20,2018-04-02 11:31:20,0.054s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:20,2018-04-02 11:31:20,0.043s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:20,2018-04-02 11:31:22,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:22,2018-04-02 11:31:23,0.595s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:23,2018-04-02 11:31:25,2.002s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:25,2018-04-02 11:31:25,0.150s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:25,2018-04-02 11:31:27,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:27,2018-04-02 11:31:27,0.695s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:27,2018-04-02 11:31:29,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:29,2018-04-02 11:31:29,0.119s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:29,2018-04-02 11:31:30,0.495s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:30,2018-04-02 11:31:32,2.002s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:32,2018-04-02 11:31:32,0.272s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:32,2018-04-02 11:31:32,0.033s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:32,2018-04-02 11:31:34,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:34,2018-04-02 11:31:35,0.601s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:35,2018-04-02 11:31:37,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:37,2018-04-02 11:31:37,0.133s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:37,2018-04-02 11:31:39,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:39,2018-04-02 11:31:40,0.499s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:40,2018-04-02 11:31:42,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-04-02 11:31:42,2018-04-02 11:31:42,0.133s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:42,2018-04-02 11:31:42,0.511s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:42,2018-04-02 11:31:44,2.000s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:44,2018-04-02 11:31:44,0.116s,PASSED
setText,Firefox 57.0,,2018-04-02 11:31:44,2018-04-02 11:31:44,0.033s,PASSED
delay,Firefox 57.0,,2018-04-02 11:31:44,2018-04-02 11:31:46,2.000s,PASSED
click,Firefox 57.0,,2018-04-02 11:31:46,2018-04-02 11:31:47,0.574s,PASSED
