Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 65.0.3325.181,,2018-04-16 16:07:12,2018-04-16 16:07:12,0.057s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:12,2018-04-16 16:07:13,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:13,2018-04-16 16:07:13,0.068s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:13,2018-04-16 16:07:14,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:14,2018-04-16 16:07:15,0.097s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:15,2018-04-16 16:07:17,2.003s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:17,2018-04-16 16:07:17,0.083s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:17,2018-04-16 16:07:19,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:19,2018-04-16 16:07:19,0.394s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:19,2018-04-16 16:07:20,1.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:20,2018-04-16 16:07:20,0.048s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:20,2018-04-16 16:07:22,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:22,2018-04-16 16:07:22,0.362s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:22,2018-04-16 16:07:23,1.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:23,2018-04-16 16:07:23,0.035s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:23,2018-04-16 16:07:25,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:07:25,2018-04-16 16:07:26,0.614s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:26,2018-04-16 16:07:27,1.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:27,2018-04-16 16:07:27,0.050s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:07:27,2018-04-16 16:07:28,1.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:07:28,2018-04-16 16:07:28,0.067s,PASSED
