Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Firefox 57.0,This will be the regression testing suite. Any regression tests go in here,2018-03-30 10:10:38,2018-03-30 10:25:13,14m - 34.297s,FAILED
,,,,,,
Test Cases/Regression - Logging in and Logging out,Firefox 57.0,This is to just test the logging in and logging out.,2018-03-30 10:10:39,2018-03-30 10:17:26,6m - 47.056s,PASSED
openBrowser,Firefox 57.0,,2018-03-30 10:10:39,2018-03-30 10:10:49,9.598s,PASSED
navigateToUrl,Firefox 57.0,,2018-03-30 10:10:49,2018-03-30 10:10:51,2.254s,PASSED
maximizeWindow,Firefox 57.0,,2018-03-30 10:10:51,2018-03-30 10:10:51,0.054s,PASSED
delay,Firefox 57.0,,2018-03-30 10:10:51,2018-03-30 10:10:53,2.019s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:10:53,2018-03-30 10:10:53,0.156s,PASSED
click,Firefox 57.0,,2018-03-30 10:10:53,2018-03-30 10:10:54,0.483s,PASSED
delay,Firefox 57.0,,2018-03-30 10:10:54,2018-03-30 10:10:56,2.000s,PASSED
setText,Firefox 57.0,,2018-03-30 10:10:56,2018-03-30 10:10:56,0.083s,PASSED
setText,Firefox 57.0,,2018-03-30 10:10:56,2018-03-30 10:10:56,0.051s,PASSED
delay,Firefox 57.0,,2018-03-30 10:10:56,2018-03-30 10:10:58,2.001s,PASSED
click,Firefox 57.0,,2018-03-30 10:10:58,2018-03-30 10:10:58,0.575s,PASSED
delay,Firefox 57.0,,2018-03-30 10:10:58,2018-03-30 10:11:00,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:00,2018-03-30 10:11:01,0.136s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:01,2018-03-30 10:11:03,2.004s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:03,2018-03-30 10:11:03,0.527s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:03,2018-03-30 10:11:05,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:05,2018-03-30 10:11:05,0.144s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:05,2018-03-30 10:11:06,0.475s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:06,2018-03-30 10:11:08,2.002s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:08,2018-03-30 10:11:08,0.113s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:08,2018-03-30 10:11:08,0.048s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:08,2018-03-30 10:11:10,2.001s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:10,2018-03-30 10:11:10,0.586s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:10,2018-03-30 10:11:12,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:12,2018-03-30 10:11:13,0.119s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:13,2018-03-30 10:11:15,2.000s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:15,2018-03-30 10:11:15,0.499s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:15,2018-03-30 10:11:17,2.000s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:17,2018-03-30 10:11:17,0.118s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:17,2018-03-30 10:11:18,0.492s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:18,2018-03-30 10:11:20,2.001s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:20,2018-03-30 10:11:20,0.068s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:20,2018-03-30 10:11:20,0.033s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:20,2018-03-30 10:11:22,2.000s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:22,2018-03-30 10:11:22,0.582s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:22,2018-03-30 10:11:24,2.002s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:24,2018-03-30 10:11:24,0.160s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:24,2018-03-30 10:11:26,2.000s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:26,2018-03-30 10:11:27,0.486s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:27,2018-03-30 10:11:29,2.001s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:29,2018-03-30 10:11:29,0.120s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:29,2018-03-30 10:11:30,0.474s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:30,2018-03-30 10:11:32,2.001s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:32,2018-03-30 10:11:32,0.051s,PASSED
setText,Firefox 57.0,,2018-03-30 10:11:32,2018-03-30 10:11:32,0.033s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:32,2018-03-30 10:11:34,2.000s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:34,2018-03-30 10:11:34,0.575s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:34,2018-03-30 10:11:36,2.002s,PASSED
mouseOver,Firefox 57.0,,2018-03-30 10:11:36,2018-03-30 10:11:36,0.161s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:36,2018-03-30 10:11:38,2.002s,PASSED
click,Firefox 57.0,,2018-03-30 10:11:38,2018-03-30 10:11:39,0.493s,PASSED
delay,Firefox 57.0,,2018-03-30 10:11:39,2018-03-30 10:11:41,2.000s,PASSED
