Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 66.0.3359.139,,2018-05-03 15:42:43,2018-05-03 15:42:48,4.420s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:48,2018-05-03 15:42:54,6.042s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:42:54,2018-05-03 15:43:00,6.040s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:43:00,2018-05-03 15:43:04,4.428s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:04,2018-05-03 15:43:10,6.039s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:10,2018-05-03 15:43:16,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:43:16,2018-05-03 15:43:47,30.120s,FAILED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:47,2018-05-03 15:43:53,6.027s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:43:53,2018-05-03 15:43:59,6.027s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:43:59,2018-05-03 15:44:29,30.115s,FAILED
click,Chrome 66.0.3359.139,,2018-05-03 15:44:29,2018-05-03 15:44:33,4.402s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:44:33,2018-05-03 15:44:39,6.039s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:44:39,2018-05-03 15:44:44,4.833s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:44:44,2018-05-03 15:44:50,6.034s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:44:50,2018-05-03 15:44:55,5.307s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:44:55,2018-05-03 15:44:59,4.060s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:44:59,2018-05-03 15:45:03,4.066s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:45:03,2018-05-03 15:45:08,4.066s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:45:08,2018-05-03 15:45:12,4.605s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:45:12,2018-05-03 15:45:17,4.419s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 15:45:17,2018-05-03 15:45:23,6.040s,PASSED
