Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM-Staging Reporting Tool Suite,Chrome 66.0.3359.139,For the GM Staging Server,2018-05-03 15:22:15,2018-05-03 15:26:40,4m - 25.001s,FAILED
,,,,,,
Test Cases/Staging Server-Browser Start,Chrome 66.0.3359.139,,2018-05-03 15:22:16,2018-05-03 15:22:34,18.771s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:22:16,2018-05-03 15:22:23,6.656s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 15:22:23,2018-05-03 15:22:26,3.126s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:22:26,2018-05-03 15:22:29,3.752s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:22:29,2018-05-03 15:22:34,5.014s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 15:22:34,2018-05-03 15:22:34,0.004s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 66.0.3359.139,Test logging in to the US Reporting Tool,2018-05-03 15:22:34,2018-05-03 15:23:04,29.368s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:35,0.000s,NOT_RUN
delay,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:35,0.000s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:35,0.000s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:35,0.000s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:35,0.000s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:22:35,2018-05-03 15:22:37,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:22:37,2018-05-03 15:22:41,4.508s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 15:22:41,2018-05-03 15:22:41,0.001s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 15:22:41,2018-05-03 15:22:49,8.129s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:22:49,2018-05-03 15:22:50,1.002s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 15:22:50,2018-05-03 15:22:58,8.094s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 15:22:58,2018-05-03 15:22:59,1.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:22:59,2018-05-03 15:23:04,4.534s,PASSED
,,,,,,
Test Cases/Button Pushes,Chrome 66.0.3359.139,This test will just push each button in the website.,2018-05-03 15:23:04,2018-05-03 15:26:26,3m - 22.436s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 15:23:04,2018-05-03 15:23:04,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 15:23:04,2018-05-03 15:23:04,0.001s,NOT_RUN
