Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM- Reporting tool suite,Chrome 66.0.3359.139,Just a start,2018-05-03 13:23:14,2018-05-03 13:23:55,40.668s,FAILED
,,,,,,
Test Cases/Browser Start,Chrome 66.0.3359.139,,2018-05-03 13:23:14,2018-05-03 13:23:32,17.362s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:23:14,2018-05-03 13:23:21,6.681s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:23:21,2018-05-03 13:23:24,3.258s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:23:24,2018-05-03 13:23:27,2.150s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:23:27,2018-05-03 13:23:32,5.015s,PASSED
comment,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.004s,PASSED
,,,,,,
Test Cases/Logging In,Chrome 66.0.3359.139,Test logging in to the US Reporting Tool,2018-05-03 13:23:32,2018-05-03 13:23:40,8.164s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.001s,NOT_RUN
delay,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.000s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.002s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:32,0.001s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-03 13:23:32,2018-05-03 13:23:34,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:23:34,2018-05-03 13:23:40,6.044s,FAILED
,,,,,,
Test Cases/Button Pushes,Chrome 66.0.3359.139,This test will just push each button in the website.,2018-05-03 13:23:40,2018-05-03 13:23:46,6.191s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:40,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:40,0.001s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:40,0.002s,NOT_RUN
callTestCase,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:40,0.000s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:40,0.000s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:23:40,2018-05-03 13:23:46,6.017s,FAILED
,,,,,,
Test Cases/Logging Out,Chrome 66.0.3359.139,Logging out of the US Lead Gen Reporting Tool,2018-05-03 13:23:46,2018-05-03 13:23:52,6.114s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:46,0.001s,NOT_RUN
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:46,0.000s,NOT_RUN
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:46,0.001s,NOT_RUN
callTestCase,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:46,0.001s,NOT_RUN
comment,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:46,0.000s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:23:46,2018-05-03 13:23:52,6.012s,FAILED
