Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Chrome 66.0.3359.139,This will be the regression testing suite. Any regression tests go in here,2018-05-03 13:05:03,2018-05-03 13:19:38,14m - 35.274s,FAILED
,,,,,,
Test Cases/Regression - Logging in and Logging out,Chrome 66.0.3359.139,This is to just test the logging in and logging out.,2018-05-03 13:05:03,2018-05-03 13:13:09,8m - 6.120s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-03 13:05:03,2018-05-03 13:05:10,6.661s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-03 13:05:10,2018-05-03 13:05:13,3.562s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-03 13:05:13,2018-05-03 13:05:17,3.124s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:05:17,2018-05-03 13:05:28,11.068s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:05:28,2018-05-03 13:05:37,9.684s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:05:37,2018-05-03 13:05:46,8.129s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:05:46,2018-05-03 13:05:54,8.093s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:05:54,2018-05-03 13:06:04,10.248s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:06:04,2018-05-03 13:06:15,11.044s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:06:15,2018-05-03 13:06:25,9.659s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-03 13:06:25,2018-05-03 13:06:36,11.041s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:06:36,2018-05-03 13:06:45,9.638s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:06:45,2018-05-03 13:06:53,8.116s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-03 13:06:53,2018-05-03 13:07:01,8.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 13:07:01,2018-05-03 13:07:11,9.691s,PASSED
