Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GM - Regression Suite for Reporting Tool,Chrome 65.0.3325.181,This will be the regression testing suite. Any regression tests go in here,2018-03-30 09:45:08,2018-03-30 10:09:17,24m - 9.227s,PASSED
,,,,,,
Test Cases/Regression - Logging in and Logging out,Chrome 65.0.3325.181,This is to just test the logging in and logging out.,2018-03-30 09:45:08,2018-03-30 10:01:06,15m - 58.249s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-30 09:45:08,2018-03-30 09:45:16,7.599s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-30 09:45:16,2018-03-30 09:45:18,2.174s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-30 09:45:18,2018-03-30 09:45:19,1.029s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:19,2018-03-30 09:45:21,2.012s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:45:21,2018-03-30 09:45:21,0.100s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:21,2018-03-30 09:45:25,3.513s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:25,2018-03-30 09:45:27,2.000s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:27,2018-03-30 09:45:27,0.161s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:27,2018-03-30 09:45:27,0.093s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:27,2018-03-30 09:45:29,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:29,2018-03-30 09:45:32,2.881s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:32,2018-03-30 09:45:34,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:45:34,2018-03-30 09:45:34,0.059s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:34,2018-03-30 09:45:36,2.003s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:36,2018-03-30 09:45:36,0.328s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:36,2018-03-30 09:45:38,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:45:38,2018-03-30 09:45:38,0.041s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:38,2018-03-30 09:45:40,2.034s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:40,2018-03-30 09:45:42,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:42,2018-03-30 09:45:42,0.122s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:42,2018-03-30 09:45:43,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:43,2018-03-30 09:45:45,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:45,2018-03-30 09:45:46,1.101s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:46,2018-03-30 09:45:48,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:45:48,2018-03-30 09:45:48,0.053s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:48,2018-03-30 09:45:50,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:50,2018-03-30 09:45:50,0.285s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:50,2018-03-30 09:45:52,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:45:52,2018-03-30 09:45:52,0.068s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:52,2018-03-30 09:45:52,0.288s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:52,2018-03-30 09:45:54,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:54,2018-03-30 09:45:54,0.150s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:45:54,2018-03-30 09:45:55,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:45:55,2018-03-30 09:45:57,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:45:57,2018-03-30 09:46:00,3.510s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:00,2018-03-30 09:46:02,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:02,2018-03-30 09:46:02,0.070s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:02,2018-03-30 09:46:04,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:04,2018-03-30 09:46:05,0.709s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:05,2018-03-30 09:46:07,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:07,2018-03-30 09:46:07,0.068s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:07,2018-03-30 09:46:08,0.704s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:08,2018-03-30 09:46:10,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:10,2018-03-30 09:46:10,0.152s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:10,2018-03-30 09:46:10,0.087s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:10,2018-03-30 09:46:12,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:12,2018-03-30 09:46:12,0.341s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:12,2018-03-30 09:46:14,2.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:14,2018-03-30 09:46:14,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:14,2018-03-30 09:46:16,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:16,2018-03-30 09:46:17,0.282s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:17,2018-03-30 09:46:19,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:19,2018-03-30 09:46:19,0.054s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:19,2018-03-30 09:46:24,5.519s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:24,2018-03-30 09:46:26,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:26,2018-03-30 09:46:26,0.148s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:26,2018-03-30 09:46:26,0.085s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:26,2018-03-30 09:46:28,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:28,2018-03-30 09:46:29,0.799s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:29,2018-03-30 09:46:31,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:31,2018-03-30 09:46:31,0.054s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:31,2018-03-30 09:46:33,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:33,2018-03-30 09:46:36,2.553s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:36,2018-03-30 09:46:38,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:38,2018-03-30 09:46:38,0.050s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:38,2018-03-30 09:46:38,0.302s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:38,2018-03-30 09:46:40,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:40,2018-03-30 09:46:40,0.148s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:40,2018-03-30 09:46:40,0.084s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:40,2018-03-30 09:46:42,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:42,2018-03-30 09:46:43,0.358s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:43,2018-03-30 09:46:45,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:45,2018-03-30 09:46:45,0.069s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:45,2018-03-30 09:46:47,2.002s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:47,2018-03-30 09:46:47,0.319s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:47,2018-03-30 09:46:49,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:46:49,2018-03-30 09:46:49,0.068s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:49,2018-03-30 09:46:50,0.950s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:50,2018-03-30 09:46:52,2.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:52,2018-03-30 09:46:52,0.162s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:46:52,2018-03-30 09:46:52,0.084s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:46:52,2018-03-30 09:46:54,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:46:54,2018-03-30 09:47:10,15.328s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:10,2018-03-30 09:47:12,2.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:47:12,2018-03-30 09:47:12,0.067s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:12,2018-03-30 09:47:14,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:47:14,2018-03-30 09:47:14,0.358s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:14,2018-03-30 09:47:16,2.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-30 09:47:16,2018-03-30 09:47:16,0.023s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:47:16,2018-03-30 09:47:18,1.825s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:18,2018-03-30 09:47:20,2.002s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:47:20,2018-03-30 09:47:20,0.119s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-30 09:47:20,2018-03-30 09:47:20,0.086s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:20,2018-03-30 09:47:22,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-03-30 09:47:22,2018-03-30 09:47:23,0.376s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-30 09:47:23,2018-03-30 09:47:25,2.001s,PASSED
